assembly_id	split	region	count
Arabidopsis_arenicola_GCA_964263825.1	train	background	425
Arabidopsis_arenicola_GCA_964263825.1	train	cds	154692
Arabidopsis_arenicola_GCA_964263825.1	train	exon	23905
Arabidopsis_arenosa_GCA_905216605.1	train	background	288
Arabidopsis_arenosa_GCA_905216605.1	train	cds	146481
Arabidopsis_arenosa_GCA_905216605.1	train	exon	47376
Arabidopsis_arenosa_GCA_905216605.1	train	gene	18989
Arabidopsis_arenosa_GCA_905216605.1	train	intron	129930
Arabidopsis_arenosa_GCA_905216605.1	train	mrna	330
Arabidopsis_halleri_GCA_964271285.1	train	background	490
Arabidopsis_halleri_GCA_964271285.1	train	cds	158035
Arabidopsis_halleri_GCA_964271285.1	train	exon	32000
Arabidopsis_halleri_GCA_964271285.1	train	five_prime_utr	26487
Arabidopsis_halleri_GCA_964271285.1	train	three_prime_utr	26612
Arabidopsis_lyrata_GCA_944990045.1	train	background	451
Arabidopsis_lyrata_GCA_944990045.1	train	cds	149902
Arabidopsis_lyrata_GCA_944990045.1	train	exon	29724
Arabidopsis_lyrata_GCA_944990045.1	train	five_prime_utr	36681
Arabidopsis_lyrata_GCA_944990045.1	train	gene	229
Arabidopsis_lyrata_GCA_944990045.1	train	three_prime_utr	31480
Arabidopsis_suecica_GCA_019202805.1	train	background	530
Arabidopsis_suecica_GCA_019202805.1	train	cds	293573
Arabidopsis_suecica_GCA_019202805.1	train	exon	76611
Arabidopsis_suecica_GCA_019202805.1	train	gene	43010
Arabidopsis_suecica_GCA_019202805.1	train	intron	244564
Arabidopsis_suecica_GCA_019202805.1	train	mrna	1820
Arabidopsis_thaliana_GCA_000001735.2	train	background	231
Arabidopsis_thaliana_GCA_000001735.2	train	cds	156248
Arabidopsis_thaliana_GCA_000001735.2	train	exon	96381
Arabidopsis_thaliana_GCA_000001735.2	train	five_prime_utr	21
Arabidopsis_thaliana_GCA_000001735.2	train	gene	23038
Arabidopsis_thaliana_GCA_000001735.2	train	intron	134324
Arabidopsis_thaliana_GCA_000001735.2	train	mrna	17753
Arabidopsis_thaliana_GCA_000001735.2	train	three_prime_utr	17
Arabidopsis_thaliana_GCA_000001735.2	train	transcript	510
Arabidopsis_thaliana_GCA_001651475.1	train	background	217
Arabidopsis_thaliana_GCA_001651475.1	train	cds	139797
Arabidopsis_thaliana_GCA_001651475.1	train	exon	58227
Arabidopsis_thaliana_GCA_001651475.1	train	gene	21378
Arabidopsis_thaliana_GCA_001651475.1	train	intron	118473
Arabidopsis_thaliana_GCA_001651475.1	train	mrna	1766
Arabidopsis_thaliana_GCA_051989455.1	train	background	232
Arabidopsis_thaliana_GCA_051989455.1	train	cds	143312
Arabidopsis_thaliana_GCA_051989455.1	train	exon	50967
Arabidopsis_thaliana_GCA_051989455.1	train	five_prime_utr	22805
Arabidopsis_thaliana_GCA_051989455.1	train	gene	23084
Arabidopsis_thaliana_GCA_051989455.1	train	intron	119562
Arabidopsis_thaliana_GCA_051989455.1	train	three_prime_utr	23260
Arabidopsis_thaliana_GCA_052361225.1	train	background	230
Arabidopsis_thaliana_GCA_052361225.1	train	cds	143925
Arabidopsis_thaliana_GCA_052361225.1	train	exon	51634
Arabidopsis_thaliana_GCA_052361225.1	train	five_prime_utr	23173
Arabidopsis_thaliana_GCA_052361225.1	train	gene	23403
Arabidopsis_thaliana_GCA_052361225.1	train	intron	119968
Arabidopsis_thaliana_GCA_052361225.1	train	three_prime_utr	23711
Arabidopsis_thaliana_GCA_902651935.1	train	background	228
Arabidopsis_thaliana_GCA_902651935.1	train	cds	139345
Arabidopsis_thaliana_GCA_902651935.1	train	gene	20478
Arabidopsis_thaliana_GCA_902651935.1	train	intron	112239
Arabidopsis_thaliana_GCA_902651935.1	train	mrna	131
Arabidopsis_thaliana_GCA_902705455.1	validation	background	229
Arabidopsis_thaliana_GCA_902705455.1	validation	cds	139831
Arabidopsis_thaliana_GCA_902705455.1	validation	gene	20445
Arabidopsis_thaliana_GCA_902705455.1	validation	intron	112783
Arabidopsis_thaliana_GCA_902705455.1	validation	mrna	173
Arabidopsis_thaliana_GCA_904420315.1	train	background	246
Arabidopsis_thaliana_GCA_904420315.1	train	cds	140926
Arabidopsis_thaliana_GCA_904420315.1	train	exon	52443
Arabidopsis_thaliana_GCA_904420315.1	train	gene	18878
Arabidopsis_thaliana_GCA_904420315.1	train	intron	126883
Arabidopsis_thaliana_GCA_904420315.1	train	mrna	1387
Arabidopsis_thaliana_GCA_978657495.1	train	background	274
Arabidopsis_thaliana_GCA_978657495.1	train	cds	145163
Arabidopsis_thaliana_GCA_978657495.1	train	exon	84089
