assembly_id	split	region	count
Arabidopsis_arenicola_GCA_964263825.1	train	background	1884
Arabidopsis_arenicola_GCA_964263825.1	train	cds	158548
Arabidopsis_arenicola_GCA_964263825.1	train	exon	24714
Arabidopsis_arenosa_GCA_905216605.1	train	background	1146
Arabidopsis_arenosa_GCA_905216605.1	train	cds	146903
Arabidopsis_arenosa_GCA_905216605.1	train	exon	47488
Arabidopsis_arenosa_GCA_905216605.1	train	gene	19033
Arabidopsis_arenosa_GCA_905216605.1	train	intron	130324
Arabidopsis_arenosa_GCA_905216605.1	train	mrna	330
Arabidopsis_halleri_GCA_964271285.1	train	background	1814
Arabidopsis_halleri_GCA_964271285.1	train	cds	158540
Arabidopsis_halleri_GCA_964271285.1	train	exon	32135
Arabidopsis_halleri_GCA_964271285.1	train	five_prime_utr	26620
Arabidopsis_halleri_GCA_964271285.1	train	three_prime_utr	26748
Arabidopsis_lyrata_GCA_944990045.1	train	background	2383
Arabidopsis_lyrata_GCA_944990045.1	train	cds	150339
Arabidopsis_lyrata_GCA_944990045.1	train	exon	29811
Arabidopsis_lyrata_GCA_944990045.1	train	five_prime_utr	36783
Arabidopsis_lyrata_GCA_944990045.1	train	gene	230
Arabidopsis_lyrata_GCA_944990045.1	train	three_prime_utr	31566
Arabidopsis_suecica_GCA_019202805.1	train	background	2192
Arabidopsis_suecica_GCA_019202805.1	train	cds	297067
Arabidopsis_suecica_GCA_019202805.1	train	exon	77136
Arabidopsis_suecica_GCA_019202805.1	train	gene	43404
Arabidopsis_suecica_GCA_019202805.1	train	intron	247316
Arabidopsis_suecica_GCA_019202805.1	train	mrna	1829
Arabidopsis_thaliana_GCA_000001735.2	train	background	916
Arabidopsis_thaliana_GCA_000001735.2	train	cds	156707
Arabidopsis_thaliana_GCA_000001735.2	train	exon	96717
Arabidopsis_thaliana_GCA_000001735.2	train	five_prime_utr	23
Arabidopsis_thaliana_GCA_000001735.2	train	gene	23103
Arabidopsis_thaliana_GCA_000001735.2	train	intron	134702
Arabidopsis_thaliana_GCA_000001735.2	train	mrna	17824
Arabidopsis_thaliana_GCA_000001735.2	train	three_prime_utr	21
Arabidopsis_thaliana_GCA_000001735.2	train	transcript	510
Arabidopsis_thaliana_GCA_001651475.1	train	background	878
Arabidopsis_thaliana_GCA_001651475.1	train	cds	140545
Arabidopsis_thaliana_GCA_001651475.1	train	exon	58521
Arabidopsis_thaliana_GCA_001651475.1	train	gene	21499
Arabidopsis_thaliana_GCA_001651475.1	train	intron	119089
Arabidopsis_thaliana_GCA_001651475.1	train	mrna	1776
Arabidopsis_thaliana_GCA_051989455.1	train	background	915
Arabidopsis_thaliana_GCA_051989455.1	train	cds	143936
Arabidopsis_thaliana_GCA_051989455.1	train	exon	51157
Arabidopsis_thaliana_GCA_051989455.1	train	five_prime_utr	22887
Arabidopsis_thaliana_GCA_051989455.1	train	gene	23186
Arabidopsis_thaliana_GCA_051989455.1	train	intron	120046
Arabidopsis_thaliana_GCA_051989455.1	train	three_prime_utr	23346
