assembly_id	split	region	count
Arabidopsis_arenicola_GCA_964263825.1	train	background	3469
Arabidopsis_arenicola_GCA_964263825.1	train	cds	159558
Arabidopsis_arenicola_GCA_964263825.1	train	exon	24978
Arabidopsis_arenosa_GCA_905216605.1	train	background	2287
Arabidopsis_arenosa_GCA_905216605.1	train	cds	146961
Arabidopsis_arenosa_GCA_905216605.1	train	exon	47494
Arabidopsis_arenosa_GCA_905216605.1	train	gene	19038
Arabidopsis_arenosa_GCA_905216605.1	train	intron	130383
Arabidopsis_arenosa_GCA_905216605.1	train	mrna	331
Arabidopsis_halleri_GCA_964271285.1	train	background	3533
Arabidopsis_halleri_GCA_964271285.1	train	cds	158594
Arabidopsis_halleri_GCA_964271285.1	train	exon	32158
Arabidopsis_halleri_GCA_964271285.1	train	five_prime_utr	26644
Arabidopsis_halleri_GCA_964271285.1	train	three_prime_utr	26766
Arabidopsis_lyrata_GCA_944990045.1	train	background	4023
Arabidopsis_lyrata_GCA_944990045.1	train	cds	150352
Arabidopsis_lyrata_GCA_944990045.1	train	exon	29825
Arabidopsis_lyrata_GCA_944990045.1	train	five_prime_utr	36796
Arabidopsis_lyrata_GCA_944990045.1	train	gene	230
Arabidopsis_lyrata_GCA_944990045.1	train	three_prime_utr	31576
Arabidopsis_suecica_GCA_019202805.1	train	background	4252
Arabidopsis_suecica_GCA_019202805.1	train	cds	298080
Arabidopsis_suecica_GCA_019202805.1	train	exon	77314
Arabidopsis_suecica_GCA_019202805.1	train	gene	43540
Arabidopsis_suecica_GCA_019202805.1	train	intron	248225
Arabidopsis_suecica_GCA_019202805.1	train	mrna	1836
Arabidopsis_thaliana_GCA_000001735.2	train	background	1829
Arabidopsis_thaliana_GCA_000001735.2	train	cds	156812
Arabidopsis_thaliana_GCA_000001735.2	train	exon	96774
Arabidopsis_thaliana_GCA_000001735.2	train	five_prime_utr	25
Arabidopsis_thaliana_GCA_000001735.2	train	gene	23119
Arabidopsis_thaliana_GCA_000001735.2	train	intron	134779
Arabidopsis_thaliana_GCA_000001735.2	train	mrna	17834
Arabidopsis_thaliana_GCA_000001735.2	train	three_prime_utr	22
Arabidopsis_thaliana_GCA_000001735.2	train	transcript	510
Arabidopsis_thaliana_GCA_001651475.1	train	background	1767
Arabidopsis_thaliana_GCA_001651475.1	train	cds	140643
Arabidopsis_thaliana_GCA_001651475.1	train	exon	58571
Arabidopsis_thaliana_GCA_001651475.1	train	gene	21519
Arabidopsis_thaliana_GCA_001651475.1	train	intron	119179
Arabidopsis_thaliana_GCA_001651475.1	train	mrna	1776
Arabidopsis_thaliana_GCA_051989455.1	train	background	1820
Arabidopsis_thaliana_GCA_051989455.1	train	cds	144047
Arabidopsis_thaliana_GCA_051989455.1	train	exon	51194
Arabidopsis_thaliana_GCA_051989455.1	train	five_prime_utr	22901
Arabidopsis_thaliana_GCA_051989455.1	train	gene	23209
Arabidopsis_thaliana_GCA_051989455.1	train	intron	120129
Arabidopsis_thaliana_GCA_051989455.1	train	three_prime_utr	23358
